user_address,currency_tick,available,hold,create_time,modify_time
"1128XkktJVHSdY2zg7jhBVtGenz5rkx4n3vNrYHfUBQ7AVWa","DOTA","16621935.0000000000000000","0.0000000000000000","2023-12-26 17:37:30","2023-12-26 17:37:30"
"1129XAdwrW77x34T5JPHvnDR6Bu6sS2wfQ69RX6xzyvtW4MV","DOTA","656203.0000000000000000","0.0000000000000000","2023-12-26 17:37:34","2023-12-26 17:37:34"
"112AMvLrhwTBUiUn6vWCHjkoszfnUuC3Loq5C3GeHuqvbCt","DOTA","913119.0000000000000000","0.0000000000000000","2023-12-26 17:37:34","2023-12-26 17:37:34"
"112ArajSiBgUxmkV3p1yd1fokHumNCq7Chn2Vypg8PVf4pQG","DOTA","35836.0000000000000000","0.0000000000000000","2023-12-26 17:37:36","2023-12-26 17:37:36"
"112AzdxTBAChdvousELFQMUJ4VwBi8UYYcd9eHnEfaTunPSw","DOTA","212650.0000000000000000","0.0000000000000000","2023-12-26 17:37:35","2023-12-26 17:37:35"
"112Ba7qgepABykhasb1aZgUNP6VBMsGBxrqxQR66oLGAM9Cr","DOTA","0.0000000000000000","0.0000000000000000","2023-12-26 17:37:31","2024-03-14 21:59:43"
"112Bidy7FPqxmbKscWUtwEcLPFasi5sJ6hFWySQfgCgcVWrL","DOTA","667072.0000000000000000","0.0000000000000000","2023-12-26 17:37:34","2023-12-26 17:37:34"
"112CF6hvUVF5aDVKPZ8AiucFBvxPfFxEP1e7MYtY7VD6HVt","DOTA","63717168.0000000000000000","0.0000000000000000","2023-12-26 17:37:30","2024-01-08 19:32:03"
"112CMurPEgq39bpfbtH7b91mhmitZ9gZCWv518nVZNaa7p26","DOTA","0.0000000000000000","0.0000000000000000","2023-12-26 17:37:30","2024-01-04 22:20:11"
"112D5XBZzi8kt5bDjHBGNXqsCCgoYkcUBqVawCmVWhiCrodo","DOTA","2125265.0000000000000000","0.0000000000000000","2023-12-26 17:37:33","2023-12-26 17:37:33"
"112Dbg2pJFgYzYvBvdQLw6cxhVBuSacrMZPpxsgfLrEQp7gJ","DOTA","517444.0000000000000000","0.0000000000000000","2023-12-26 17:37:34","2023-12-26 17:37:34"
"112DDfu2viaPpUNfjfrwCHF8p2ccxSzSAmkQaRPRTi7DaKcq","DOTA","30531736.0000000000000000","0.0000000000000000","2023-12-26 17:37:30","2023-12-26 17:37:30"
"112DfiZSdFtifyjLjKmDwuPLHWFQAgyNRTStrRxeEkYyNGg8","DOTA","1262389.0000000000000000","0.0000000000000000","2023-12-26 17:37:33","2023-12-26 17:37:33"
"112DMS6FkxTa5XMgCACa7Q8Sn7yy7wASjwaXEeBhY9C8kLDL","DOTA","3143129.0000000000000000","0.0000000000000000","2023-12-26 17:37:32","2023-12-26 17:37:32"
"112DWc6EkqcxAYGk6ztzXD3N9iiy36G6Mv8zc7TMWbr8A3Vm","DOTA","18413293.0000000000000000","0.0000000000000000","2023-12-26 17:37:30","2023-12-26 17:37:30"
"112E7wX2dvKx5twLfCu8ZPokvPKVVvsJFVuj9uMFqrmWuU2G","DOTA","0.0000000000000000","0.0000000000000000","2023-12-26 17:37:30","2024-01-04 23:29:49"
"112FBMPixmMV8A2zLnBb9uAUNFYYqbuWndCw8vNLLnExMcFM","DOTA","6188148.0000000000000000","0.0000000000000000","2023-12-26 17:37:31","2023-12-26 17:37:31"
"112FD8pyc1VFRRCLsc12bVU7Mx3KinazxPi1xUvGa4pEJ3AV","DOTA","91867.0000000000000000","0.0000000000000000","2023-12-26 17:37:35","2023-12-26 17:37:35"
"112FL3pQCvHNzFvMLYvypqgcaDr2NZDLqbTCmX7WzFYQnkBP","DOTA","339818.0000000000000000","0.0000000000000000","2023-12-26 17:37:35","2023-12-26 17:37:35"
"112FLi5ur8uhBpKqr8MMEqP7RxY8WfmE9NESVtSKjKRHhEyq","DOTA","1385014.0000000000000000","0.0000000000000000","2023-12-26 17:37:33","2023-12-26 17:37:33"
"112GBSJeCcSdbR1omM4f1N8Q8coKXuQS6j5fQSRr4iFigrc5","DOTA","23229842.0000000000000000","0.0000000000000000","2023-12-26 17:37:30","2023-12-26 17:37:30"
"112Gm1THVPqcxnkkMSNHgxye8Z3kbhK45SCr2WmW1fxBqBkt","DOTA","0.0000000000000000","0.0000000000000000","2023-12-26 17:37:30","2024-01-14 23:00:08"
"112gmtpFPguWpEKjJF9pkVNfaSEp49JuwiHJAhNcMne69eo","DOTA","77158.0000000000000000","0.0000000000000000","2023-12-26 17:37:35","2023-12-26 17:37:35"
"112GUy7VEBTQR1CYDoBxnDD2LWFVSEh6cAV8KX46rv22Fb9B","DOTA","279923.0000000000000000","0.0000000000000000","2023-12-26 17:37:35","2023-12-26 17:37:35"
